eta,error_infinite_n_linear,slope_1_over_n,rmse
0.02,0.18586611839019493,2.480060164692031,0.02752740660161751
0.05,0.187940763978511,1.28455386107441,0.0066874137800912795
0.1,0.1304762730596874,0.9621691207962971,0.001388342537022472
0.2,0.08080056563227732,0.6456989107709962,0.0008697309465940757
