eta,model,error_infinite_n,param_1,param_2,r2,aicc,rmse
0.0001,linear_1_over_n,0.9926443099048237,0.025623964325440854,0.0,0.33656374987019666,-88.32783172207861,0.0026838861397347927
0.0001,quadratic_1_over_n,0.9818623851365526,0.1444284759328323,-0.27859061762254944,0.5214835403010852,-85.3417689951106,0.002279360034144523
0.0001,power_offset,0.88709252995048,0.12048570741930323,0.0500000000000037,0.42582339020077764,-83.8837976132241,0.0024968200148814367
0.00023269181687763618,linear_1_over_n,0.9828927313290712,0.05958997081968732,0.0,0.3366611154397844,-74.82797165427851,0.006240167659872722
0.00023269181687763618,quadratic_1_over_n,0.9578249991266795,0.33580778400403133,-0.6477169101765587,0.5215423395495812,-71.8417178513045,0.005299687800598406
0.00023269181687763618,power_offset,0.7374353425311805,0.28018621085331963,0.0500000000000045,0.4259159831194078,-70.3840535840277,0.005805187590622314
0.0005414548164181542,linear_1_over_n,0.9603024063684971,0.13822678529796253,0.0,0.3371848363567329,-61.384190949819704,0.014457934216832323
0.0005414548164181542,quadratic_1_over_n,0.9022328252079195,0.7780873275761117,-1.500440860820616,0.5218551596687,-58.39685065871021,0.012279756736760806
0.0005414548164181542,power_offset,0.3910479690156732,0.6498016431472985,0.050000057177000054,0.4264129537019191,-56.94088261046657,0.01344961008719458
0.001259921049894874,linear_1_over_n,0.9089551593110133,0.31638050732636064,0.0,0.33995021671552894,-48.234182910843494,0.032888361686415186
0.001259921049894874,quadratic_1_over_n,0.7769925984578253,1.770457393371773,-3.4097373262452524,0.5234829186529186,-45.24067644216349,0.02794429324147031
0.001259921049894874,power_offset,5.4281353077589585e-11,1.0938890330007365,0.06952523482264153,0.42715618078354856,-43.767800100007875,0.030638818172400512
0.0029317331822241717,linear_1_over_n,0.8021699719753644,0.6807154510933949,0.0,0.3532153905002121,-36.44364915200999,0.06871910178774499
0.0029317331822241717,quadratic_1_over_n,0.528123651563777,3.7003932872912575,-7.080992986087371,0.5308683532224371,-33.41268840617978,0.05852548226079961
0.0029317331822241717,power_offset,4.2782151858157015e-17,1.2122817894879745,0.15182887398680084,0.4318024208704365,-31.880002142154183,0.06440911401683132
0.006821903207721965,linear_1_over_n,0.6333274698754259,1.2161602273990855,0.0,0.39853292130286233,-28.705526870088057,0.11145933876108012
0.006821903207721965,quadratic_1_over_n,0.20539442389280793,5.931494235130262,-11.057221613364172,0.5516594235381362,-25.456076014043667,0.09623090155769796
0.006821903207721965,power_offset,8.60494076978499e-15,1.402821768209729,0.2809338460843479,0.46132977357697946,-23.987672814561066,0.10548046058860074
0.015874010519682003,linear_1_over_n,0.4446085633428132,1.6868136906951683,0.0,0.49583491084798326,-26.63060939186724,0.1268927437190437
0.015874010519682003,quadratic_1_over_n,0.016885375697051203,6.399835298947335,-11.051799152631554,0.5947686809034007,-22.77817507151817,0.11376322752588859
0.015874010519682003,power_offset,3.4785794726805844e-13,1.5824987815626126,0.42485398915203465,0.5372399954865277,-21.716171002773237,0.12157053037959333
0.036937523489595184,linear_1_over_n,0.2512356615065519,1.940592835845769,0.0,0.6783876349878648,-30.492435866116374,0.09968129408513274
0.036937523489595184,quadratic_1_over_n,-0.02445566711330637,4.978396785977287,-7.123497813619187,0.7208761341987433,-26.025966572055488,0.09286365742226639
0.036937523489595184,power_offset,6.185170307586177e-16,1.6923518633044754,0.5921962626801988,0.6985518397457134,-25.410427250577598,0.09650584493844813
0.08595059451754268,linear_1_over_n,0.0953053795627988,1.7203153047471567,0.0,0.8930223299117473,-43.425167336781804,0.044419666938622475
0.08595059451754268,quadratic_1_over_n,0.019029941234262934,2.5607836249239444,-1.9708560326733175,0.8984702626749268,-38.24331443898032,0.043273832693546364
0.08595059451754268,power_offset,5.751705560418061e-20,1.5422369343756461,0.7711915682980377,0.8968634006486335,-38.11769377702702,0.04361492541984286
0.2,linear_1_over_n,0.061557042849239546,0.8352794260633544,0.0,0.9761091798120659,-67.68982178229076,0.009748772869876755
0.2,quadratic_1_over_n,0.07581032148309409,0.6782245547585273,0.36828579155338187,0.9769912039718301,-62.39076349247834,0.00956712326208147
0.2,power_offset,0.08402142128670044,0.9329266490400973,1.1681760279932387,0.9768600908233893,-62.345305748643895,0.009594343151012371
