eta,model,error_infinite_n,param_1,param_2,r2,aicc,rmse
0.0001,linear_1_over_n,0.9926443099048237,0.025623964325440854,0.0,0.33656374987019666,-88.32783172207861,0.0026838861397347927
0.00023269181687763618,linear_1_over_n,0.9828927313290712,0.05958997081968732,0.0,0.3366611154397844,-74.82797165427851,0.006240167659872722
0.0005414548164181542,linear_1_over_n,0.9603024063684971,0.13822678529796253,0.0,0.3371848363567329,-61.384190949819704,0.014457934216832323
0.001259921049894874,linear_1_over_n,0.9089551593110133,0.31638050732636064,0.0,0.33995021671552894,-48.234182910843494,0.032888361686415186
0.0029317331822241717,linear_1_over_n,0.8021699719753644,0.6807154510933949,0.0,0.3532153905002121,-36.44364915200999,0.06871910178774499
0.006821903207721965,linear_1_over_n,0.6333274698754259,1.2161602273990855,0.0,0.39853292130286233,-28.705526870088057,0.11145933876108012
0.015874010519682003,linear_1_over_n,0.4446085633428132,1.6868136906951683,0.0,0.49583491084798326,-26.63060939186724,0.1268927437190437
0.036937523489595184,linear_1_over_n,0.2512356615065519,1.940592835845769,0.0,0.6783876349878648,-30.492435866116374,0.09968129408513274
0.08595059451754268,linear_1_over_n,0.0953053795627988,1.7203153047471567,0.0,0.8930223299117473,-43.425167336781804,0.044419666938622475
0.2,linear_1_over_n,0.061557042849239546,0.8352794260633544,0.0,0.9761091798120659,-67.68982178229076,0.009748772869876755
