levels,pairspace_dim,g,eta,exact_pairspace_energy,source_pair_norm,bcs_pair_norm,relative_source_profile_error,leading_pair_density_eigenvalue,relative_pair_density_residual
3,8,0.7,0.0001,-4.668013723379984,0.00024352770644136716,0.5675635696893486,0.9995732693582078,1.0587877695876453,0.6836756607649265
3,8,0.7,0.00023269181687763618,-4.668013895278586,0.0005666688410513237,0.5675635696893486,0.9990070361791352,1.0587877313625973,0.6836756697765685
3,8,0.7,0.0005414548164181542,-4.668014826030811,0.0013185894558828874,0.5675635696893486,0.9976894758212971,1.0587875243937865,0.6836757185703749
3,8,0.7,0.001259921049894874,-4.668019865604072,0.003068217432656542,0.5675635696893486,0.9946237481688335,1.0587864038260275,0.6836759827620069
3,8,0.7,0.0029317331822241717,-4.668047151751004,0.007139083610759772,0.5675635696893486,0.9874911251288435,1.0587803386510495,0.6836774131001346
3,8,0.7,0.006821903207721965,-4.668194868553166,0.01660693509022642,0.5675635696893486,0.9709047479535423,1.0587475626528629,0.683685153626442
3,8,0.7,0.015874010519682003,-4.6689939466167445,0.03857857901127932,0.5675635696893486,0.9324279337149994,1.0585719593562386,0.6837269448864799
3,8,0.7,0.036937523489595184,-4.673299107874108,0.08897199340019205,0.5675635696893486,0.8442795286000916,1.0576730935816958,0.6839497419815589
3,8,0.7,0.08595059451754268,-4.696017639952137,0.1978581285524221,0.5675635696893486,0.6547101103630373,1.0539878699343697,0.6850600351564361
3,8,0.7,0.2,-4.8058919663766515,0.38244405939429954,0.5675635696893486,0.34527743439829406,1.0470381944748661,0.6890036191413068
4,16,0.7,0.0001,-6.13703473618358,0.0005231169700351168,0.7500016379897252,0.999315876372514,1.1887407900605709,0.6802653703578299
4,16,0.7,0.00023269181687763618,-6.137035175440848,0.0012172487053502263,0.7500016379897252,0.9984081310125984,1.1887408023211812,0.6802652603744024
4,16,0.7,0.0005414548164181542,-6.137037553810229,0.002832417004623503,0.7500016379897252,0.9962960334048414,1.1887408687074643,0.6802646648734626
4,16,0.7,0.001259921049894874,-6.137050431305948,0.006590536467927279,0.7500016379897252,0.9913823611264151,1.1887412281765013,0.6802614407872525
4,16,0.7,0.0029317331822241717,-6.137120148338964,0.015332287572477033,0.7500016379897252,0.9799564276891678,1.1887431750462014,0.6802439920890803
4,16,0.7,0.006821903207721965,-6.1374973773473815,0.0356348509650471,0.7500016379897252,0.9534405790437419,1.1887537312610903,0.680149757038997
4,16,0.7,0.015874010519682003,-6.139532425247802,0.08239522491260932,0.7500016379897252,0.8924862234411157,1.1888113101028162,0.6796464887340615
4,16,0.7,0.036937523489595184,-6.150341747747969,0.18554150611329964,0.7500016379897252,0.7586900343096636,1.1891337107648674,0.6771090392631137
4,16,0.7,0.08595059451754268,-6.203897274119614,0.3739634664336208,0.7500016379897252,0.5175320445196061,1.19102073362791,0.6670760573000794
4,16,0.7,0.2,-6.422450004708773,0.5859434875793561,0.7500016379897252,0.25569110080568874,1.2000101021818161,0.6439767420919196
5,32,0.7,0.0001,-8.022859846275475,0.0006363863315999049,0.9429698627286741,0.9993279502433013,1.4492338747367197,0.5958091882644758
5,32,0.7,0.00023269181687763618,-8.022860463177354,0.0014808170186944077,0.9429698627286741,0.9984362030954,1.4492338397556461,0.5958091044095845
5,32,0.7,0.0005414548164181542,-8.022863803408672,0.003445716104056903,0.9429698627286741,0.9963612297363492,1.4492336503537198,0.5958086503786966
5,32,0.7,0.001259921049894874,-8.022881888852162,0.008017598038444495,0.9429698627286741,0.9915333712297074,1.449232624967412,0.5958061921666765
5,32,0.7,0.0029317331822241717,-8.022979801636474,0.018652499035033413,0.9429698627286741,0.9803038066650789,1.449227077053184,0.5957928867505952
5,32,0.7,0.006821903207721965,-8.023509612009686,0.04335512019614651,0.9429698627286741,0.9542242411577301,1.4491971571225137,0.5957209811356836
5,32,0.7,0.015874010519682003,-8.026368315384707,0.10028944765981342,0.9429698627286741,0.894141295017924,1.4490386005124658,0.595335614649535
5,32,0.7,0.036937523489595184,-8.041566163426571,0.22631256224608956,0.9429698627286741,0.7612992887750047,1.4482727212413349,0.593357679960205
5,32,0.7,0.08595059451754268,-8.117091083275948,0.4592555881101733,0.9429698627286741,0.516639899880908,1.4459421421005323,0.5849610352365312
5,32,0.7,0.2,-8.425227351018439,0.7209735618886498,0.9429698627286741,0.24570405130726233,1.4472065967580139,0.5631287839392709
6,64,0.7,0.0001,-10.078194544635126,0.002403325266291604,1.0941208907393405,0.9978121697737313,1.7021740011352398,0.47016997271956573
6,64,0.7,0.00023269181687763618,-10.078197112192049,0.0055922092957168,1.0941208907393405,0.994909277639388,1.7021738177255217,0.4701707213298381
6,64,0.7,0.0005414548164181542,-10.078211013302473,0.01301095158224364,1.0941208907393405,0.9881561426798487,1.702172825081804,0.47017477400504804
6,64,0.7,0.001259921049894874,-10.078286250774696,0.03025450952764762,1.0941208907393405,0.9724611321213573,1.7021674631531378,0.4701966965780553
6,64,0.7,0.0029317331822241717,-10.078692730301503,0.070138188928837,1.0941208907393405,0.9361673985229487,1.702138801841865,0.47031478941639177
6,64,0.7,0.006821903207721965,-10.0808680005026,0.16003240550822154,1.0941208907393405,0.8544119005749459,1.7019939190840798,0.4709368163104317
6,64,0.7,0.015874010519682003,-10.09198581569913,0.33914080531030477,1.0941208907393405,0.6917756877611285,1.7014410397528636,0.4738581179717409
6,64,0.7,0.036937523489595184,-10.140480512253145,0.5769842580436592,1.0941208907393405,0.47664807591625075,1.7009423358222668,0.482517407449676
6,64,0.7,0.08595059451754268,-10.303448698360311,0.7578316965330975,1.0941208907393405,0.31389581508913644,1.7037789869007278,0.49111181339922494
6,64,0.7,0.2,-10.768483189118438,0.8991200757394998,1.0941208907393405,0.18743530388762822,1.7121604089293732,0.48675028052762787
7,128,0.7,0.0001,-12.757977761606767,0.0012492214886710312,1.221170936797736,0.9989785676539831,2.010961514330892,0.4488658390651208
7,128,0.7,0.00023269181687763618,-12.75797921330225,0.002906826756282886,1.221170936797736,0.9976232230832248,2.010961370921752,0.44886576857103133
